Full,Intrested,
K02469,#N/A,K02469
K01193,#N/A,K01193
K00239,K00239,0
K06286,#N/A,K06286
K00942,#N/A,K00942
K07016,#N/A,K07016
K03110,K03110,0
K02528,#N/A,K02528
K06179,#N/A,K06179
K07126,K07126,0
K00982,#N/A,K00982
K11752,#N/A,K11752
K07738,#N/A,K07738
K01218,#N/A,K01218
K07278,#N/A,K07278
K02014,K02014,0
K18954,#N/A,K18954
K03046,K03046,0
K03655,K03655,0
K01783,K01783,0
K07347,K07347,0
K03046,K03046,0
K09022,#N/A,K09022
K02409,#N/A,K02409
K07126,K07126,0
K02523,#N/A,K02523
K00854,#N/A,K00854
K26148,#N/A,K26148
K07487,#N/A,K07487
K20169,#N/A,K20169
K00370,#N/A,K00370
