id,EC,type
K12960,3.5.4.28;3.5.4.31,enzyme
K01813,5.3.1.14,enzyme
K01581,4.1.1.17,enzyme
K18336,3.7.1.26,enzyme
K01425,3.5.1.2,enzyme
K00848,2.7.1.5,enzyme
K01966,2.1.3.15;6.4.1.3,enzyme
K26110,1.7.1.7,enzyme
K00392,1.8.7.1,enzyme
K00135,1.2.1.16;1.2.1.20;1.2.1.79,enzyme
K00088,1.1.1.205,enzyme
K00117,1.1.5.2,enzyme
K09882,6.6.1.2,enzyme
K04561,1.7.2.5,enzyme
K01809,5.3.1.8,enzyme
K00856,2.7.1.20,enzyme
K01236,3.2.1.141,enzyme
K16242,1.14.13.243;1.14.13.244,enzyme
K01739,2.5.1.48,enzyme
K07271,,enzyme
K01119,3.1.3.6;3.1.4.16,enzyme
K01198,3.2.1.37,enzyme
K16650,2.4.1.288,enzyme
K07404,3.1.1.31,enzyme
K03431,5.4.2.10,enzyme
K01591,4.1.1.23,enzyme
K00975,2.7.7.27,enzyme
K16011,2.7.7.13;5.3.1.8,enzyme
K00156,1.2.5.1,enzyme
K01950,6.3.5.1,enzyme
K15784,3.5.1.125,enzyme
K00014,1.1.1.25,enzyme
K01609,4.1.1.48,enzyme
K01046,3.1.1.3,enzyme
K00008,1.1.1.14,enzyme
K07405,3.2.1.1,enzyme
K01480,3.5.3.11,enzyme
K03639,4.1.99.22,enzyme
K00166,1.2.4.4,enzyme
K01610,4.1.1.49,enzyme
K05810,2.4.2.1;2.4.2.28;3.5.4.4,enzyme
K00789,2.5.1.6,enzyme
K01082,3.1.3.7,enzyme
K01938,6.3.4.3,enzyme
K00760,2.4.2.8,enzyme
K00185,,enzyme
K00912,2.7.1.130,enzyme
K01666,4.1.3.39,enzyme
K01921,6.3.2.4,enzyme
K01588,5.4.99.18,enzyme
K00254,1.3.5.2,enzyme
K22769,,enzyme
K15921,3.2.1.55,enzyme
K00998,2.7.8.8,enzyme
K12452,1.17.1.1,enzyme
K00426,7.1.1.7,enzyme
K01704,4.2.1.33;4.2.1.35,enzyme
K01952,6.3.5.3,enzyme
K13821,1.2.1.88;1.5.5.2,enzyme
K00858,2.7.1.23,enzyme
K08744,2.7.8.41,enzyme
K01791,5.1.3.14,enzyme
K07264,2.4.2.43,enzyme
K01817,5.3.1.24,enzyme
K02535,3.5.1.108,enzyme
K01956,6.3.5.5,enzyme
K18930,,enzyme
K09001,2.7.1.170,enzyme
K02372,4.2.1.59,enzyme
K01624,4.1.2.13,enzyme
K01483,4.3.2.3,enzyme
K11206,3.5.1.128,enzyme
K01878,6.1.1.14,enzyme
K02363,6.2.1.71;6.3.2.14,enzyme
K24336,4.2.1.115;4.2.1.135,enzyme
K02823,,enzyme
K00878,2.7.1.50,enzyme
K00748,2.4.1.182,enzyme
K01431,3.5.1.6,enzyme
K00123,1.17.1.9,enzyme
K02527,2.4.99.12;2.4.99.13;2.4.99.14;2.4.99.15,enzyme
K01638,2.3.3.9,enzyme
K06168,2.8.4.3,enzyme
K01969,6.4.1.4,enzyme
K00833,2.6.1.62,enzyme
K14471,2.8.3.22,enzyme
K01892,6.1.1.21,enzyme
K01902,6.2.1.5,enzyme
K11754,6.3.2.12;6.3.2.17,enzyme
K16213,5.1.3.11,enzyme
K00930,2.7.2.8,enzyme
K03520,1.2.5.3,enzyme
K01205,3.2.1.50,enzyme
K01488,3.5.4.4,enzyme
K11751,3.1.3.5;3.6.1.45,enzyme
K00974,2.7.7.72,enzyme
K02170,3.1.1.85,enzyme
K18979,1.17.99.6,enzyme
K01689,4.2.1.11,enzyme
K05588,7.1.1.2,enzyme
K00111,1.1.5.3,enzyme
K02446,3.1.3.11,enzyme
K00826,2.6.1.42,enzyme
K01424,3.5.1.1,enzyme
K00634,2.3.1.19,enzyme
K00847,2.7.1.4,enzyme
K07160,3.5.2.9,enzyme
K01647,2.3.3.1,enzyme
K01703,4.2.1.33;4.2.1.35,enzyme
K03279,2.4.1.58,enzyme
K01839,5.4.2.7,enzyme
K00873,2.7.1.40,enzyme
K00145,1.2.1.38,enzyme
K00874,2.7.1.45,enzyme
K10218,4.1.3.17,enzyme
K01812,5.3.1.12,enzyme
K13015,1.1.1.136,enzyme
K00600,2.1.2.1,enzyme
K19268,5.4.99.1,enzyme
K16649,2.4.1.287,enzyme
K08678,4.1.1.35,enzyme
K12308,3.2.1.23,enzyme
K03272,2.7.1.167;2.7.7.70,enzyme
K03426,3.6.1.22,enzyme
K01447,3.5.1.28,enzyme
K01825,1.1.1.35;4.2.1.17;5.1.2.3;5.3.3.8,enzyme
K24845,1.97.1.15,enzyme
K13481,1.17.1.4,enzyme
K02826,7.1.1.5,enzyme
K20534,,enzyme
K01658,4.1.3.27,enzyme
K01879,6.1.1.14,enzyme
K00104,1.1.99.14,enzyme
K07566,2.7.7.87,enzyme
K02753,,enzyme
K01934,6.3.3.2,enzyme
K01807,5.3.1.6,enzyme
K26061,,enzyme
K01679,4.2.1.2,enzyme
K25031,2.7.1.12,enzyme
K01941,6.3.4.6,enzyme
K01880,6.1.1.14,enzyme
K06041,5.3.1.13,enzyme
K00151,1.2.1.60,enzyme
K01512,3.6.1.7,enzyme
K09698,6.1.1.24,enzyme
K05523,3.5.1.124;4.2.1.130,enzyme
K05358,1.1.5.8,enzyme
K00757,2.4.2.3,enzyme
K02227,6.3.1.10,enzyme
K01183,3.2.1.14,enzyme
K03333,1.1.3.6,enzyme
K12410,2.3.1.286;2.3.1.313,enzyme
K00957,2.7.7.4,enzyme
K25986,1.13.11.93,enzyme
K13482,1.17.1.4,enzyme
K00332,7.1.1.2,enzyme
