KO,EC,RXN
K19611,,
K07496,,
K16898,5.6.2.4,
K02800,2.7.1.197,R02704
K18320,,
K03724,5.6.2.4;5.6.2.6,
K03631,,
K03600,,
K11754,6.3.2.12;6.3.2.17,R00942;R02237;R04241
K04077,5.6.1.7,
K01096,3.1.3.27;3.1.3.4;3.6.1.27;3.6.1.75,R02029
K01914,6.3.1.1,R00483
K18197,4.2.2.23,
K00266,1.4.1.13,R00114;R00248
K00239,1.3.5.1,R02164
K01147,3.1.13.1,
K02031,,
K04771,3.4.21.107,
K03589,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K02931,,
K18289,2.8.3.22,R02407;R03154
K08303,,
K05921,4.1.1.68,R04134;R04380
K23999,2.7.7.104;5.4.2.9,R00661;R12498
K07354,,
K04075,6.3.4.19,R09597
K03336,3.7.1.22,R08603
K07495,,
K01999,,
K12573,3.1.13.1,
K27377,,
K26706,,
K26922,,
K26707,,
K01698,4.2.1.24,R00036
K00058,1.1.1.399;1.1.1.95,R01513
K03782,1.11.1.21,R00602;R00698;R02596;R02670;R03919;R04007;R07443;R11906
K22539,4.2.2.2,R02361
K07400,,
K03442,,
K04767,,
K07484,,
K17734,,
K02335,2.7.7.7,
K00518,1.15.1.1,
K02836,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K18887,,
K03580,,
K02529,,
K03696,,
K07347,,
K07486,,
K02553,,
K21217,,
K00261,1.4.1.3,R00243;R00248
K00995,2.7.8.5,R01801
K04763,,
K00426,7.1.1.7,R11325
K21573,,
K01186,3.2.1.18,R03491;R04018;R05999;R06147
K13918,,
K09015,,
K02314,5.6.2.3,
K03306,,
K03655,5.6.2.4,
K02011,,
K03581,3.1.11.5,
K02863,,
K10742,5.6.2.3,
K02551,2.2.1.9,R08165
K07175,,
K06286,,
K12308,3.2.1.23,R01105
K01235,3.2.1.139,
K18197,4.2.2.23,
K09800,,
K01756,4.3.2.2,R01083;R04559;R12851
K07153,,
K00566,2.8.1.13,R08700
K23517,1.14.13.16,
K03590,,
K03589,,
K02484,2.7.13.3,
K16692,2.7.10.3,
K02316,2.7.7.101,
K26110,1.7.1.7,R01134
K06920,6.3.4.20,R09978
K00626,2.3.1.9,R00238;R01177
K10953,,
K00166,1.2.4.4,R01210;R01651;R01701;R01702;R03171;R04225;R07599;R07600;R07601;R07602;R07603;R07604;R10996;R10997
K07114,,
K07126,,
K07516,1.1.1.35,R01975;R04737;R04739;R04741;R04743;R04745;R04748;R05305
K06901,,
K01006,2.7.9.1,R00206
K03284,,
K03701,,
K02389,,
K01537,7.2.2.10,
K06041,5.3.1.13,R01530
K16092,,
K06948,,
K21397,,
K00526,1.17.4.1,R02017;R02018;R02019;R02024
K05984,,
K14441,2.8.4.4,R10652
K02217,1.16.3.2,
K12472,,
K00766,2.4.2.18,R01073
K07646,2.7.13.3,
K12340,,
K01206,3.2.1.51,
K01262,3.4.11.9,
K07400,,
K01586,4.1.1.20,R00451
K01733,4.2.3.1,R01466;R05086
K06946,,
K08676,,
K07485,,
K01198,3.2.1.37,R01433
K07016,,
K19138,,
K09002,,
K03733,,
K02014,,
K03644,2.8.1.8,R07767;R12423;R12424
K07485,,
K00370,1.7.5.1,R00798;R01106;R09497
K07080,,
K03385,1.7.2.2,R05712
K12998,,
K07133,,
K02484,2.7.13.3,
K07775,,
K24012,6.2.1.13,R00229;R00920
K25995,1.3.5.1;7.1.1.12,R02164
K03733,,
K21236,1.14.11.4,
K03578,5.6.2.6,
K03694,,
K07679,2.7.13.3,
K07713,,
K26937,,
K02004,,
K01156,3.1.21.5,
K06198,,
K02035,,
K09892,,
K23107,,
K21573,,
K14063,,
K20543,,
K22900,,
K07693,,
K01200,3.2.1.41,R02111
K20509,7.2.4.1,R03028;R09509;R12212
K01113,3.1.3.1,R04620
K03427,2.1.1.72,
K00955,2.7.1.25;2.7.7.4,R00509;R00529;R04928;R04929
K11736,,
K00600,2.1.2.1,R00945;R09099
K07004,,
K07114,,
K07114,,
K01176,3.2.1.1,R02108;R02112;R11262
K01662,2.2.1.7,R05636
K03466,,
K24847,,
K07652,2.7.13.3,
K02401,,
K07795,,
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K03110,,
K02238,,
K04066,5.6.2.4,
K21572,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01929,6.3.2.10,R04573;R04617
K28385,1.8.4.17,
K07305,1.8.4.12,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K21573,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K07263,,
K02037,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K21573,,
K11907,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K02014,,
K08351,,R10127
K02935,,
K04751,,
K07037,,
K01881,6.1.1.15,R03661
K01414,3.4.24.70,
K03124,,
K02855,,
K03544,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K02548,2.5.1.74,R10757
K26937,,
K10829,7.2.2.16,
K00338,7.1.1.2,R11945
K00342,7.1.1.2,R11945
K03588,2.4.99.28,
K01784,5.1.3.2,R00291;R02984
K00602,2.1.2.3;3.5.4.10,R01127;R04560
K03569,,
K15726,,
K01256,3.4.11.2,R00899;R04951
K06909,,
K08994,,
K01438,3.5.1.16,R00669;R09107
K21572,,
K24116,,
K03286,,
K01958,6.4.1.1,R00344
K01999,,
K03406,,
K07814,,
K07497,,
K07792,,
K24100,3.2.1.213,
K00700,2.4.1.18,R02110
K06949,3.1.3.100,R00615;R02135
K12132,2.7.11.1,
K18661,6.2.1.76,R03383
K05592,5.6.2.7,
K00163,1.2.4.1,R00014;R00209;R01699;R03270
K02335,2.7.7.7,
K00147,1.2.1.41,R03313
K01869,6.1.1.4,R03657
K02343,2.7.7.7,
K04042,2.3.1.157;2.7.7.23,R00416;R05332
K21064,3.1.3.104,R07280
K03563,,
K02004,,
K00029,1.1.1.40,R00216
K25137,2.1.1.173,
K07316,2.1.1.72,
K03924,,
K00891,2.7.1.71,R02412
K10762,,
K03924,,
K03820,2.3.1.269,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01224,3.2.1.89,
K15551,,
K03648,3.2.2.27,
K15778,5.4.2.2;5.4.2.8,R00959;R01057;R01818;R08639
K03655,5.6.2.4,
K18138,,
K10014,,
K07271,,R12821
K06889,,
K00626,2.3.1.9,R00238;R01177
K03581,3.1.11.5,
K01775,5.1.1.1,R00401
K03596,,
K00975,2.7.7.27,R00948
K03271,5.3.1.28,R05645;R09768;R09769
K21366,2.4.1.122,
K04041,3.1.3.11,R00762;R04780
K07126,,
K01870,6.1.1.5,R03656
K06959,,
K03655,5.6.2.4,
K07054,,
K14441,2.8.4.4,R10652
K26937,,
K02014,,
K02334,2.7.7.7,
K03601,3.1.11.6,
K03800,6.3.1.20,R07770;R07771;R11143;R12429;R12433;R12434;R12449
K00111,1.1.5.3,R00848
K00145,1.2.1.38,R03443
K00372,,R00798;R01106
K27519,,
K10805,,R01274
K03976,,
K04063,1.11.1.28,
K07003,,
K12257,,
K14155,4.4.1.13,R00782;R01286;R02408;R04941;R12188
K07126,,
K16092,,
K24112,,R12597;R12600;R12601
K16169,,
K03696,,
K03580,,
K00610,,R01397
K07485,,
K26937,,
K15125,,
K19425,,
K02011,,
K00164,1.2.4.2,R00621;R01700;R03316;R08549
K01524,3.6.1.11;3.6.1.40,R03409
K03046,2.7.7.6,
K14136,2.4.2.45,R10095
K19341,,
K10773,4.2.99.18,
K03977,,
K05523,3.5.1.124;4.2.1.130,R09796
K01281,3.4.14.11,
K03234,,
K07484,,
K11749,,
K03556,,
K22347,1.8.1.20,
K00990,2.7.7.59,
K01491,1.5.1.5;3.5.4.9,R01220;R01655
K00059,1.1.1.100,R02767;R04533;R04534;R04536;R04543;R04566;R04953;R04964;R07763;R10116;R10120;R11671
K01874,6.1.1.10,R03659;R04773
K22316,3.1.26.4;3.1.3.73,R04594
K00468,1.13.12.2,R00449
K03702,,
K02519,,
K06211,2.7.1.22;2.7.7.1,R00137;R02324;R03005
K03469,3.1.26.4,
K03695,,
K03565,,
K01439,3.5.1.18,R02734
K02588,,R05185;R05496
K03722,5.6.2.3,
K02390,,
K11071,,
K07493,,
K00067,1.1.1.133,R02777
K00973,2.7.7.24,R02328
K10907,,
K01870,6.1.1.5,R03656
K09125,,
K01921,6.3.2.4,R01150
K01784,5.1.3.2,R00291;R02984
K02805,2.6.1.59,R04438
K09124,,
K00278,1.4.3.16,R00357;R00481
K02860,,
K25118,,
K00817,2.6.1.9,R00694;R00734;R03243
K14978,,
K14698,,
K06915,,
K04084,1.8.4.16,
K21573,,
K02033,,
K09952,,
K03699,,
K22579,2.7.9.6,R11964
K24950,,
K12257,,
K19117,,
K07177,,
K11735,,
K03651,3.1.4.53,R00191
K07486,,
K11085,7.5.2.6,
K01364,3.4.22.10,
K05989,3.2.1.40,R13063;R13064
K03495,,R08701
K18581,3.2.1.180,R10867
K05364,,R04519;R06177
K03588,2.4.99.28,
K08303,,
K06877,,
K15352,,
K03168,5.6.2.1,
K07126,,
K01126,3.1.4.46,R01030;R01470
K21573,,
K19237,3.4.22.47,
K05837,2.4.99.28,
K07484,,
K04561,1.7.2.5,R00294
K01673,4.2.1.1,R00132;R10092
K21572,,
K07279,,
K16371,,R01069
K01870,6.1.1.5,R03656
K03696,,
K10212,,R07656
K00912,2.7.1.130,R04657
K09015,,
K11927,5.6.2.7,
K00764,2.4.2.14,R01072
K03667,,
K01620,4.1.2.48,R00751;R06171
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K02040,,
K10439,,
K19303,,
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K26937,,
K01649,2.3.3.13,R01213
K02469,5.6.2.2,
K01537,7.2.2.10,
K03406,,
K07133,,
K07277,,
K08301,,
K01424,3.5.1.1,R00485
K02392,,
K01890,6.1.1.20,R03660
K02372,4.2.1.59,R04428;R04535;R04537;R04544;R04568;R04954;R04965;R07764;R10117;R10121;R10208
K12687,,
K03527,1.17.7.4,R05884;R08210
K03101,3.4.23.36,
K00633,2.3.1.18,
K09800,,
K07278,,
K07272,,
K10844,5.6.2.3,
K00313,,
K17722,1.3.1.1,R00977;R01414;R11026
K00059,1.1.1.100,R02767;R04533;R04534;R04536;R04543;R04566;R04953;R04964;R07763;R10116;R10120;R11671
K02118,,
K00208,1.3.1.10;1.3.1.9,R01403;R01404;R04429;R04430;R04724;R04725;R04955;R04956;R04958;R04959;R04961;R04962;R04966;R04967;R04969;R04970;R07765;R10118;R10122;R11671
K01205,3.2.1.50,R07816
K03709,,
K03574,3.6.1.55,
K15460,2.1.1.223,
K00342,7.1.1.2,R11945
K01951,6.3.5.2,R01230;R01231;R08244
K19005,2.7.8.20,R05081;R10849;R12813;R12900;R12901
K15923,3.2.1.51,
K03595,,
K13663,,
K00681,2.3.2.2;3.4.19.13,R00494;R01262;R01687;R03867;R03916;R03970;R03971;R04935
K23072,,
K03427,2.1.1.72,
K07789,,
K00930,2.7.2.8,R02649
K00865,2.7.1.165,R08572
K01879,6.1.1.14,R03654
K04789,,
K19354,,
K20276,,
K04774,,
K13409,,
K01791,5.1.3.14,R00420
K02014,,
K03665,,
K00548,2.1.1.13,R00946;R09365
K07493,,
K25317,5.1.1.10,R00460;R00567;R00579;R00589;R00672;R00903
K03430,2.6.1.37,R04152
K00311,1.5.5.1,
K02003,,
K09155,,
K00265,1.4.1.13,R00114;R00248
K01186,3.2.1.18,R03491;R04018;R05999;R06147
K13953,1.1.1.1,R00623;R00754;R02124;R04880;R05233;R05234;R06917;R06927;R07105;R08281;R08306;R08310
K06915,,
K03453,,
K01495,3.5.4.16,R00424;R00428;R04639;R05046;R05048
K00200,1.2.7.12,R03015;R08060
K01728,4.2.2.2,R02361;R06240
K25183,,
K14155,4.4.1.13,R00782;R01286;R02408;R04941;R12188
K01867,6.1.1.2,R03664
K09915,,
K06877,,
K06160,,
K07491,,
K07496,,
K01652,2.2.1.6,R00006;R00014;R00226;R03050;R04672;R04673;R08648
K00003,1.1.1.3,R01773;R01775
K01740,2.5.1.49,R00651;R01287;R02026;R04859
K05520,3.5.1.124,
K08195,,
K01879,6.1.1.14,R03654
K01972,6.5.1.2,R00382
K03168,5.6.2.1,
K01589,6.3.4.18,R07404
K07277,,
K26730,,
K21573,,
K02335,2.7.7.7,
K14445,,
K04763,,
K01890,6.1.1.20,R03660
K01735,4.2.3.4,R03083
K01711,4.2.1.47,R00888
K07568,2.4.99.17,R10220
K21572,,
K01897,6.2.1.3,R00390;R01280
K10742,5.6.2.3,
K03581,3.1.11.5,
K07277,,
K00677,2.3.1.129,R04567
K18765,,
K00897,2.7.1.95,
K03546,,
K18138,,
K11939,,
K01921,6.3.2.4,R01150
K02548,2.5.1.74,R10757
K23997,4.2.1.136;5.1.99.6,
K17686,7.2.2.8,
K18197,4.2.2.23,
K02051,,
K06196,,
K22719,,
K02037,,
K21574,3.2.1.3,R01790;R01791
K00980,2.7.7.39,R00856
K25137,2.1.1.173,
K26043,,
K07126,,
K05365,2.4.99.28;3.4.16.4,R04519;R06177
K00170,1.2.7.1,R01196;R01199;R08034
K03788,3.1.3.2,R00548
K18902,,
K00033,1.1.1.343;1.1.1.44,R01528;R10221
K03215,2.1.1.190,
K01195,3.2.1.31,R01478;R04979;R07818;R08127;R08260;R10830
K03215,2.1.1.190,
K02030,,
K03657,5.6.2.4,
K00648,2.3.1.180,R10707
K18197,4.2.2.23,
K01256,3.4.11.2,R00899;R04951
K07238,,
K01868,6.1.1.3,R03663
K14155,4.4.1.13,R00782;R01286;R02408;R04941;R12188
K03308,,
K01537,7.2.2.10,
K03524,6.3.4.15,R01074;R05145
K03799,,
K03466,,
K03828,,
K01992,,
K01477,3.5.3.4,R02422
K02358,,
K02429,,
K07485,,
K21573,,
K08222,,
K02188,2.1.1.195,R07773
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K26735,,
K27885,,
K00066,1.1.1.132,R00880
K00075,1.3.1.98,R03191;R03192
K02838,,
K06949,3.1.3.100,R00615;R02135
K08484,2.7.3.9,
K03043,2.7.7.6,
K01585,4.1.1.19,R00566
K03615,7.1.1.11;7.2.1.2,
K03798,,
K04075,6.3.4.19,R09597
K07577,,
K03656,5.6.2.4,
K06133,,R01625
K03579,5.6.2.6,
K03427,2.1.1.72,
K03800,6.3.1.20,R07770;R07771;R11143;R12429;R12433;R12434;R12449
K07568,2.4.99.17,R10220
K01400,3.4.24.28,
K00266,1.4.1.13,R00114;R00248
K15125,,
K00339,7.1.1.2,R11945
K08301,,
K00627,2.3.1.12,R00209;R02569
K07638,2.7.13.3,
K00876,2.7.1.48,R00513;R00517;R00964;R00968;R08232
K03550,,
K12373,3.2.1.52,R00022;R03492;R04184;R04586;R05963;R06001;R06004;R07809;R07810;R11316;R12963
K00528,1.18.1.2;1.19.1.1,R10159
K03406,,
K02503,,
K03799,,
K07260,3.4.17.14,
K02389,,
K02390,,
K16089,,
K21557,,
K07332,,
K03701,,
K26937,,
K09952,,
K01810,5.3.1.9,R00771;R02739;R02740;R03321;R13199
K07099,,
K22083,2.1.1.21,R01586
K15633,5.4.2.12,R01518
K01811,3.2.1.177,
K01874,6.1.1.10,R03659;R04773
K00266,1.4.1.13,R00114;R00248
K00864,2.7.1.30,R00847
K03628,,
K03529,,
K11891,,
K02004,,
K10742,5.6.2.3,
K16089,,
K03427,2.1.1.72,
K03654,5.6.2.4,
K01886,6.1.1.18,R03652
K00661,2.3.1.79,
K09927,,
K03614,7.1.1.11;7.2.1.2,
K21471,,
K00013,1.1.1.23,R01158;R01163;R03012
K00817,2.6.1.9,R00694;R00734;R03243
K07126,,
K05517,,
K07636,2.7.13.3,
K00849,2.7.1.6,R01092
K02319,2.7.7.7,
K07558,2.7.7.72,R09382;R09383;R09384;R09386
K01206,3.2.1.51,
K01738,2.5.1.47,R00897;R03601;R04859;R07274
K03498,,
K03498,,
K00971,2.7.7.13,R00885
K02314,5.6.2.3,
K03654,5.6.2.4,
K07347,,
K00948,2.7.6.1,R01049
K01710,4.2.1.46,R06513
K03496,,
K00425,7.1.1.7,R11325
K02109,,
K16212,2.4.1.281,R09943
K03551,5.6.2.4,
K18303,,
K09760,,
K00937,2.7.4.1,
K03686,,
K01928,6.3.2.13,R02788
K03530,,
K00759,2.4.2.7,R00190;R04378
K01607,4.1.1.44,R03470
K07263,,
K23537,,
K03406,,
K02035,,
K02519,,
K03733,,
K07386,,
K07001,,
K17238,,
K15879,,
K09475,,
K00564,2.1.1.172,R07234
K07484,,
K03587,3.4.16.4,
K02622,5.6.2.2,
K02406,,
K02967,,
K01756,4.3.2.2,R01083;R04559;R12851
K07566,2.7.7.87,R10463
K00231,1.3.3.15;1.3.3.4,R03222;R04178
K02564,3.5.99.6,R00765
K07793,,
K03686,,
K03407,2.7.13.3,
K05966,2.4.2.52,R09675
K01551,7.3.2.7,
K00962,2.7.7.8,
K07126,,
K00675,2.3.1.118,
K01952,6.3.5.3,R04463
K11216,2.7.1.189,R11183
K03308,,
K19353,,
K02004,,
K03427,2.1.1.72,
K00558,2.1.1.37,R04858
K03046,2.7.7.6,
K02389,,
K00140,1.2.1.18;1.2.1.27,R00705;R00706;R00922;R00935
K07497,,
K18887,,
K05813,,
K07713,,
K19591,,
K07771,,
K01736,4.2.3.5,R01714
K07482,,
K02389,,
K07133,,
K03645,,
K00548,2.1.1.13,R00946;R09365
K02232,6.3.5.10,R05225
K22044,,
K03495,,R08701
K01992,,
K03631,,
K01205,3.2.1.50,R07816
K07114,,
K07317,2.1.1.72,
K03790,2.3.1.267,
K00138,,R00711
K00259,1.4.1.1,R00396
K02392,,
K04518,4.2.1.51,R00691;R01373
K01897,6.2.1.3,R00390;R01280
K03451,,
K03772,5.2.1.8,
K16092,,
K03439,2.1.1.33,
K01011,2.8.1.1;2.8.1.2,R01931;R03105
K00340,7.1.1.2,R11945
K02429,,
K02031,,
K07126,,
K04047,,
K01235,3.2.1.139,
K03733,,
K01894,,
K03695,,
K15922,3.2.1.199,R00802;R11543
K11016,,
K07386,,
K22135,,
K01712,4.2.1.49,R02914
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01895,6.2.1.1,R00235;R00236;R00316;R00925;R00926;R01354
K02396,,
K21470,,
K00850,2.7.1.11,R00756;R03236;R03237;R03238;R03239;R04779
K12529,,R07229
K03665,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K04759,,
K00128,1.2.1.3,R00264;R00631;R00710;R00904;R01752;R01986;R02549;R02678;R02940;R02957;R03283;R03869;R04065;R04506;R04903;R05050;R05237;R05238;R05286;R06366;R08146
K11737,,
K12132,2.7.11.1,
K16091,,
K01364,3.4.22.10,
K01585,4.1.1.19,R00566
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K01119,3.1.3.6;3.1.4.16,R01562;R01877;R02148;R02370;R03537;R03538;R03929;R05135
K27245,4.2.2.29,
K02048,,
K11939,,
K01712,4.2.1.49,R02914
K06189,,
K07126,,
K18118,2.8.3.18,R10343
K26080,1.1.3.29,
K03545,,
K00174,1.2.7.11;1.2.7.3,R01196;R01197
K01364,3.4.22.10,
K01885,6.1.1.17,R05578
K07496,,
K03797,3.4.21.102,
K11071,,
K25010,3.1.1.117,
K07290,,
K06400,,
K07644,2.7.13.3,
K01448,3.5.1.28,R04112
K02498,,
K02355,,
K02600,,
K02871,,
K07126,,
K01179,3.2.1.4,R06200;R11307;R11308
K00974,2.7.7.72,R09382;R09383;R09384;R09386
K27802,4.2.1.3;4.2.1.99,R01324;R01325;R01900;R04425
K03654,5.6.2.4,
K00568,2.1.1.222;2.1.1.64,R04988;R08769;R12657
K07462,,
K07487,,
K02844,,
K07243,,
K01485,3.5.4.1;3.5.4.21,R00974;R01411;R02922
K14062,,
K07133,,
K04760,,
K05851,4.6.1.1,R00089;R00434
K00175,1.2.7.11;1.2.7.3,R01196;R01197
K12527,1.97.1.9,R07229
K04720,4.1.1.81,R06530
K01870,6.1.1.5,R03656
K02396,,
K01271,3.4.13.9,
K04069,1.97.1.4,R04710
K02346,2.7.7.7,
K07462,,
K01750,4.3.1.12,R00671
K05916,1.14.12.17,
K01652,2.2.1.6,R00006;R00014;R00226;R03050;R04672;R04673;R08648
K03733,,
K00201,1.2.7.12,R03015;R08060
K00684,2.3.2.6,R03813;R11443;R11444
K03581,3.1.11.5,
K07133,,
K04075,6.3.4.19,R09597
K10215,,R07836;R07837
K03499,,
K02864,,
K03427,2.1.1.72,
K07814,,
K00789,2.5.1.6,R00177;R04771
K02342,2.7.7.7,
K03624,,
K03686,,
K01139,2.7.6.5;3.1.7.2,R00336;R00429
K00566,2.8.1.13,R08700
K00702,2.4.1.20,R00952
K02653,,
K07114,,
K07284,3.4.22.70,
K03655,5.6.2.4,
K04043,,
K01870,6.1.1.5,R03656
K03687,,
K02014,,
K01937,6.3.4.2,R00571;R00573
K09160,,
K02026,,
K07648,2.7.13.3,
K03798,,
K16787,,
K01845,5.4.3.8,R02272
K01972,6.5.1.2,R00382
K03702,,
K22956,2.3.1.184,R08940
K07485,,
K09961,,
K06909,,
K01870,6.1.1.5,R03656
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K03732,5.6.2.7,
K03528,,
K03578,5.6.2.6,
K03289,,
K07177,,
K00134,1.2.1.12,R01061
K05817,,
K08884,2.7.11.1,
K11085,7.5.2.6,
K19231,,
K12132,2.7.11.1,
K00053,1.1.1.86,R03051;R04439;R04440;R05068;R05069;R05071
K07485,,
K01952,6.3.5.3,R04463
K01206,3.2.1.51,
K09955,,
K11106,,
K00477,1.14.11.18,
K03526,1.17.7.1;1.17.7.3,R08689;R10859
K21023,2.7.7.65,
K21134,,
K06400,,
K04485,,
K01534,7.2.2.12;7.2.2.21,
K24160,,
K09157,,
K04088,,
K00800,2.5.1.19,R03460
K00278,1.4.3.16,R00357;R00481
K12421,,
K13684,,
K03168,5.6.2.1,
K01156,3.1.21.5,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K01873,6.1.1.9,R03665
K01639,4.1.3.3,R01811;R12768
K08307,4.2.2.29,
K08323,4.2.1.8,R05606
K13730,,
K14202,,
K01933,6.3.3.1,R04208
K07139,,
K03544,,
K13798,2.7.7.6,
K00873,2.7.1.40,R00200;R00430;R01138;R01858;R02320
K09952,,
K13735,,
K00239,1.3.5.1,R02164
K07133,,
K00761,2.4.2.9,R00966
K01114,3.1.4.3,R01312;R02027;R02052;R03332;R07381
K03797,3.4.21.102,
K19422,,
K01407,3.4.24.55,
K03110,,
K00278,1.4.3.16,R00357;R00481
K26878,,
K06972,,
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K03695,,
K01791,5.1.3.14,R00420
K01091,3.1.3.18,R01334
K01649,2.3.3.13,R01213
K02390,,
K09704,,
K03657,5.6.2.4,
K00347,7.2.1.1,
K06168,2.8.4.3,R10645;R10646;R10647
K07496,,
K10778,2.1.1.63,
K00990,2.7.7.59,
K00854,2.7.1.17,R01639
K02690,1.97.1.12,R09542
K07478,,
K06168,2.8.4.3,R10645;R10646;R10647
K09014,,
K10844,5.6.2.3,
K01952,6.3.5.3,R04463
K07126,,
K07496,,
K07030,2.7.2.18,
K00564,2.1.1.172,R07234
K14261,,
K02031,,
K01537,7.2.2.10,
K01895,6.2.1.1,R00235;R00236;R00316;R00925;R00926;R01354
K03737,1.2.7.1,R01196;R10866
K13038,4.1.1.36;6.3.2.5,R03269;R04231
K02017/K02018,,
K21636,1.1.98.6,R11633;R11634;R11635;R11636
K03086,,
K04019,,R00749
K02109,,
K06888,,
K02004,,
K01154,3.1.21.3,
K18138,,
K03086,,
K11004,,
K06211,2.7.1.22;2.7.7.1,R00137;R02324;R03005
K03528,,
K01897,6.2.1.3,R00390;R01280
K01897,6.2.1.3,R00390;R01280
K07576,,
K07678,2.7.13.3,
K01991,,
K18138,,
K05939,2.3.1.40;6.2.1.20,R01406;R04864
K12373,3.2.1.52,R00022;R03492;R04184;R04586;R05963;R06001;R06004;R07809;R07810;R11316;R12963
K01197,3.2.1.35,R07824;R07825;R10905
K06894,,
K03593,,
K00094,1.1.1.251,R05571
K10558,,
K00606,2.1.2.11,R01226
K00970,2.7.7.19,
K06920,6.3.4.20,R09978
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K03763,2.7.7.7,
K03046,2.7.7.6,
K01945,6.3.4.13,R04144
K02471,,
K20460,,
K01990,,
K26288,3.2.1.218,
K21572,,
K21573,,
K03555,,
K11733,,
K09952,,
K16092,,
K03797,3.4.21.102,
K02904,,
K01953,6.3.5.4,R00578
K02560,2.3.1.243,R05075;R12197
K00813,2.6.1.1,R00355;R00694;R00734;R00896;R02433;R02619;R05052
K01626,2.5.1.54,R01826
K00058,1.1.1.399;1.1.1.95,R01513
K01179,3.2.1.4,R06200;R11307;R11308
K02014,,
K02959,,
K03555,,
K11021,,
K00604,2.1.2.9,R03940
K01652,2.2.1.6,R00006;R00014;R00226;R03050;R04672;R04673;R08648
K10037,,
K10036,,
K01255,3.4.11.1,R00899;R04951
K07277,,
K19294,,
K11929,,
K21573,,
K06894,,
K01945,6.3.4.13,R04144
K01682,4.2.1.3;4.2.1.99,R01324;R01325;R01900;R04425
K06916,,
K01755,4.3.2.1,R01086
K03324,,
K03667,,
K01419,3.4.25.2,
K15125,,
K03040,2.7.7.6,
K03723,5.6.2.4,
K03568,,
K21572,,
K21573,,
K06926,,
K02483,,
K25286,,
K08320,3.6.1.65,R00515;R01668
K03654,5.6.2.4,
K01198,3.2.1.37,R01433
K00831,2.6.1.52,R04173;R05085
K07407,3.2.1.22,R01101;R01103;R01104;R01194;R01329;R02926;R03618;R03634;R04019;R04470;R05549;R05961;R06091;R06094
K20035,1.3.99.41,R11130
K00558,2.1.1.37,R04858
K02099,,
K03427,2.1.1.72,
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K03095,,
K05946,2.4.1.187,R05566;R06129
K01486,3.5.4.2,R01244
K09015,,
K20276,,
K03657,5.6.2.4,
K02003,,
K25767,3.2.1.217,
K01256,3.4.11.2,R00899;R04951
K11753,2.7.1.26;2.7.7.2,R00161;R00549
K21573,,
K03581,3.1.11.5,
K08306,4.2.2.29,
K01897,6.2.1.3,R00390;R01280
K15268,,
K03588,2.4.99.28,
K00548,2.1.1.13,R00946;R09365
K03929,,
K12373,3.2.1.52,R00022;R03492;R04184;R04586;R05963;R06001;R06004;R07809;R07810;R11316;R12963
K08316,2.1.1.171,R07234
K02035,,
K05837,2.4.99.28,
K11070,,
K00052,1.1.1.85,R00994;R04426;R10052
K04763,,
K06966,3.2.2.10,R00182;R00510;R12955;R12956
K00705,2.4.1.25,R02111;R05196
K21449,,
K00948,2.7.6.1,R01049
K02071,,
K07138,,
K02519,,
K02600,,
K01869,6.1.1.4,R03657
K09807,,
K00928,2.7.2.4,R00480
K03313,,
