KO,EC,RXN
K23997,4.2.1.136;5.1.99.6,
K03593,,
K00943,2.7.4.9,R02094;R02098
K00163,1.2.4.1,R00014;R00209;R01699;R03270
K03701,,
K07486,,
K07263,,
K07505,,
K07114,,
K04775,,
K04487,2.8.1.7,R07460;R11528;R11529
K09815,,
K01925,6.3.2.9,R02783
K01519,3.6.1.66,R00720;R02720;R03531;R08243
K13936,,
K05786,,
K12257,,
K05366,2.4.99.28;3.4.16.4,
K08676,,
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K06921,,
K14647,,
K16089,,
K01939,6.3.4.4,R01135
K00573,2.1.1.77,
K06919,,
K01875,6.1.1.11,R03662;R08218
K00262,1.4.1.4,R00248
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K03569,,
K00036,1.1.1.363;1.1.1.49,R00835;R02736;R10907
K01875,6.1.1.11,R03662;R08218
K22474,1.1.5.5,R09479
K19577,,
K01534,7.2.2.12;7.2.2.21,
K01537,7.2.2.10,
K16516,,
K15547,,
K07282,,
K00705,2.4.1.25,R02111;R05196
K06894,,
K15770,,
K04043,,
K07496,,
K00362,1.7.1.15,R00787
K07568,2.4.99.17,R10220
K01869,6.1.1.4,R03657
K01662,2.2.1.7,R05636
K07497,,
K02314,5.6.2.3,
K02438,3.2.1.196,R02111
K09157,,
K03545,,
K14699,,
K03529,,
K01284,3.4.15.5,
K07133,,
K01643,2.8.3.10,R00362
K00595,2.1.1.132;2.1.1.196;2.1.1.289,R05149;R07774;R07775
K01338,3.4.21.53,
K01840,5.4.2.8,R01818
K15770,,
K06281,1.12.99.6,R08034
K17315,,
K00036,1.1.1.363;1.1.1.49,R00835;R02736;R10907
K04760,,
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K00986,2.7.7.49,
K19244,1.4.1.1,R00396
K01787,5.1.3.8,R01207
K07811,1.7.2.3,R02560
K02824,,
K19084,,
K01951,6.3.5.2,R01230;R01231;R08244
K22278,3.5.1.104,
K01662,2.2.1.7,R05636
K05802,,
K04763,,
K20807,4.2.1.84,R04020;R05379;R05596;R07780;R07854
K03695,,
K02334,2.7.7.7,
K03549,,
K26139,1.7.1.4,R00787;R00789
K03699,,
K00134,1.2.1.12,R01061
K26730,,
K03701,,
K21029,2.7.7.80,R07459
K02004,,
K25767,3.2.1.217,
K03580,,
K02040,,
K01869,6.1.1.4,R03657
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K02536,2.3.1.191,R04550
K00868,2.7.1.35,R00174;R01909;R02493
K13665,,
K01783,5.1.3.1,R01529
K04083,,
K01890,6.1.1.20,R03660
K05989,3.2.1.40,R13063;R13064
K10943,,
K18303,,
K07175,,
K02600,,
K02014,,
K07080,,
K02014,,
K08300,3.1.26.12,
K01126,3.1.4.46,R01030;R01470
K03595,,
K03798,,
K02337,2.7.7.7,
K01153,3.1.21.3,
K01305,,
K09251,2.6.1.82,R01155;R12214
K18964,2.7.7.7,
K22316,3.1.26.4;3.1.3.73,R04594
K18369,,R10703
K20084,2.6.1.122,
K07657,,
K07486,,
K00813,2.6.1.1,R00355;R00694;R00734;R00896;R02433;R02619;R05052
K21023,2.7.7.65,
K02190,4.99.1.3,R05807
K26937,,
K15255,5.6.2.3,
K00641,2.3.1.31;2.3.1.46,R01776;R01777
K02454,7.4.2.8,
K01139,2.7.6.5;3.1.7.2,R00336;R00429
K07476,,
K07126,,
K12132,2.7.11.1,
K08303,,
K15352,,
K00099,1.1.1.267,R05688
K00567,2.1.1.63,
K09458,2.3.1.179,R02768;R04355;R04726;R04952;R04957;R04960;R04963;R04968;R07762;R10115;R10119
K01990,,
K03070,7.4.2.8,
K03701,,
K02574,,
K25137,2.1.1.173,
K00266,1.4.1.13,R00114;R00248
K00796,2.5.1.15,R03066;R03067
K21508,,
K16123,,
K21573,,
K00880,2.7.1.53,R01901;R07127
K00602,2.1.2.3;3.5.4.10,R01127;R04560
K02037,,
K07279,,
K17734,,
K02470,5.6.2.2,
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K02562,,
K01915,6.3.1.2,R00253
K03733,,
K01667,4.1.99.1,R00673
K02014,,
K24998,1.3.8.17;6.3.2.31;6.3.2.34,R09399;R09400;R12720
K07315,3.1.3.3,
K04093,5.4.99.5,R01715
K19231,,
K14194,,
K01759,4.4.1.5,R02530
K06894,,
K04763,,
K02335,2.7.7.7,
K03110,,
K01507,3.6.1.1,
K26059,1.1.2.11,
K02335,2.7.7.7,
K01616,1.2.4.2;2.2.1.5;2.3.1.61;4.1.1.71,R00474;R00621;R01700;R02570;R03316;R08549
K21572,,
K02501,4.3.2.10,R04558
K01089,3.1.3.15;4.2.1.19,R03013;R03457
K11005,,
K04043,,
K07037,,
K07278,,
K03286,,
K16564,,
K07456,,
K03669,,
K03328,,
K00382,1.8.1.4,R00209;R01210;R01221;R01651;R01698;R01933;R03171;R03815;R07618;R08549
K07795,,
K02316,2.7.7.101,
K03543,,
K00162,1.2.4.1,R00014;R00209;R01699;R03270
K02356,,
K14348,,
K09825,,
K14392,,
K16149,2.4.1.18,R02110
K12132,2.7.11.1,
K03546,,
K03694,,
K03526,1.17.7.1;1.17.7.3,R08689;R10859
K10742,5.6.2.3,
K07656,2.7.13.3,
K03466,,
K07478,,
K03758,,
K03466,,
K03457,,
K03595,,
K07707,,
K02434,6.3.5.6;6.3.5.7,R03905;R04212
K03930,,
K21572,,
K03696,,
K02825,2.4.2.9,R00966
K03088,,
K01876,6.1.1.12,R05577
K11690,,
K13574,1.1.1.237,R01370;R01371;R03337;R03339
K04562,,
K10000,7.4.2.1,
K01870,6.1.1.5,R03656
K01142,3.1.11.2,
K17686,7.2.2.8,
K06207,,
K15737,1.14.11.64,R12216
K01387,3.4.24.3,
K01686,4.2.1.8,R05606
