KO,EC,Reaction,role,metabolite
K19002,2.4.1.337,R12902,substrate,C00641
K19002,2.4.1.337,R12902,product,G10619
K19002,2.4.1.337,R12902,product,G13187
K06966,3.2.2.10,R00182,substrate,C00020
K06966,3.2.2.10,R00182,substrate,C00001
K06966,3.2.2.10,R00182,product,C00147
K06966,3.2.2.10,R00182,product,C00117
K06966,3.2.2.10,R00510,substrate,C00055
K06966,3.2.2.10,R00510,substrate,C00001
K06966,3.2.2.10,R00510,product,C00380
K06966,3.2.2.10,R00510,product,C00117
K06966,3.2.2.10,R12955,substrate,C00105
K06966,3.2.2.10,R12955,substrate,C00001
K06966,3.2.2.10,R12955,product,C00106
K06966,3.2.2.10,R12955,product,C00117
K06966,3.2.2.10,R12956,substrate,C00364
K06966,3.2.2.10,R12956,substrate,C00001
K06966,3.2.2.10,R12956,product,C00178
K06966,3.2.2.10,R12956,product,C00672
K00955,2.7.1.25;2.7.7.4,R00509,substrate,C00002
K00955,2.7.1.25;2.7.7.4,R00509,substrate,C00224
K00955,2.7.1.25;2.7.7.4,R00509,product,C00008
K00955,2.7.1.25;2.7.7.4,R00509,product,C00053
K00955,2.7.1.25;2.7.7.4,R00529,substrate,C00002
K00955,2.7.1.25;2.7.7.4,R00529,substrate,C00059
K00955,2.7.1.25;2.7.7.4,R00529,product,C00013
K00955,2.7.1.25;2.7.7.4,R00529,product,C00224
K00955,2.7.1.25;2.7.7.4,R04928,substrate,C00002
K00955,2.7.1.25;2.7.7.4,R04928,substrate,C05686
K00955,2.7.1.25;2.7.7.4,R04928,product,C00008
K00955,2.7.1.25;2.7.7.4,R04928,product,C05696
K00955,2.7.1.25;2.7.7.4,R04929,substrate,C00002
K00955,2.7.1.25;2.7.7.4,R04929,substrate,C05697
K00955,2.7.1.25;2.7.7.4,R04929,product,C00013
K00955,2.7.1.25;2.7.7.4,R04929,product,C05686
K00946,2.7.4.16,R00617,substrate,C00002
K00946,2.7.4.16,R00617,substrate,C01081
K00946,2.7.4.16,R00617,product,C00008
K00946,2.7.4.16,R00617,product,C00068
K00891,2.7.1.71,R02412,substrate,C00002
K00891,2.7.1.71,R02412,substrate,C00493
K00891,2.7.1.71,R02412,product,C00008
K00891,2.7.1.71,R02412,product,C03175
K17103,2.7.8.8,R01800,substrate,C00269
K17103,2.7.8.8,R01800,substrate,C00065
K17103,2.7.8.8,R01800,product,C00055
K17103,2.7.8.8,R01800,product,C02737
K04072,1.1.1.1;1.2.1.10,R00228,substrate,C00084
K04072,1.1.1.1;1.2.1.10,R00228,substrate,C00010
K04072,1.1.1.1;1.2.1.10,R00228,substrate,C00003
K04072,1.1.1.1;1.2.1.10,R00228,product,C00024
K04072,1.1.1.1;1.2.1.10,R00228,product,C00004
K04072,1.1.1.1;1.2.1.10,R00228,product,C00080
K04072,1.1.1.1;1.2.1.10,R00623,substrate,C00226
K04072,1.1.1.1;1.2.1.10,R00623,substrate,C00003
K04072,1.1.1.1;1.2.1.10,R00623,product,C00071
K04072,1.1.1.1;1.2.1.10,R00623,product,C00004
K04072,1.1.1.1;1.2.1.10,R00623,product,C00080
K04072,1.1.1.1;1.2.1.10,R00754,substrate,C00469
K04072,1.1.1.1;1.2.1.10,R00754,substrate,C00003
K04072,1.1.1.1;1.2.1.10,R00754,product,C00084
K04072,1.1.1.1;1.2.1.10,R00754,product,C00004
K04072,1.1.1.1;1.2.1.10,R00754,product,C00080
K04072,1.1.1.1;1.2.1.10,R01172,substrate,C01412
K04072,1.1.1.1;1.2.1.10,R01172,substrate,C00010
K04072,1.1.1.1;1.2.1.10,R01172,substrate,C00003
K04072,1.1.1.1;1.2.1.10,R01172,product,C00136
K04072,1.1.1.1;1.2.1.10,R01172,product,C00004
K04072,1.1.1.1;1.2.1.10,R01172,product,C00080
K04072,1.1.1.1;1.2.1.10,R04880,substrate,C05576
K04072,1.1.1.1;1.2.1.10,R04880,substrate,C00003
K04072,1.1.1.1;1.2.1.10,R04880,product,C05577
K04072,1.1.1.1;1.2.1.10,R04880,product,C00004
K04072,1.1.1.1;1.2.1.10,R04880,product,C00080
K04072,1.1.1.1;1.2.1.10,R05233,substrate,C06611
K04072,1.1.1.1;1.2.1.10,R05233,substrate,C00003
K04072,1.1.1.1;1.2.1.10,R05233,product,C06613
K04072,1.1.1.1;1.2.1.10,R05233,product,C00004
K04072,1.1.1.1;1.2.1.10,R05233,product,C00080
K04072,1.1.1.1;1.2.1.10,R05234,substrate,C06612
K04072,1.1.1.1;1.2.1.10,R05234,substrate,C00003
K04072,1.1.1.1;1.2.1.10,R05234,product,C16348
K04072,1.1.1.1;1.2.1.10,R05234,product,C00004
K04072,1.1.1.1;1.2.1.10,R05234,product,C00080
K04072,1.1.1.1;1.2.1.10,R06917,substrate,C14089
K04072,1.1.1.1;1.2.1.10,R06917,substrate,C00003
K04072,1.1.1.1;1.2.1.10,R06917,product,C14090
K04072,1.1.1.1;1.2.1.10,R06917,product,C00004
K04072,1.1.1.1;1.2.1.10,R06917,product,C00080
K04072,1.1.1.1;1.2.1.10,R06927,substrate,C02909
K04072,1.1.1.1;1.2.1.10,R06927,substrate,C00003
K04072,1.1.1.1;1.2.1.10,R06927,product,C14099
K04072,1.1.1.1;1.2.1.10,R06927,product,C00004
K04072,1.1.1.1;1.2.1.10,R06927,product,C00080
K01962,2.1.3.15;6.4.1.2,R00742,substrate,C00002
K01962,2.1.3.15;6.4.1.2,R00742,substrate,C00024
K01962,2.1.3.15;6.4.1.2,R00742,substrate,C00288
K01962,2.1.3.15;6.4.1.2,R00742,product,C00008
K01962,2.1.3.15;6.4.1.2,R00742,product,C00009
K01962,2.1.3.15;6.4.1.2,R00742,product,C00083
K01962,2.1.3.15;6.4.1.2,R04386,substrate,C00024
K01962,2.1.3.15;6.4.1.2,R04386,substrate,C04419
K01962,2.1.3.15;6.4.1.2,R04386,product,C00083
K01962,2.1.3.15;6.4.1.2,R04386,product,C06250
K18430,2.5.1.101,R10304,substrate,C20424
K18430,2.5.1.101,R10304,substrate,C00074
K18430,2.5.1.101,R10304,substrate,C00001
K18430,2.5.1.101,R10304,product,C20418
K18430,2.5.1.101,R10304,product,C00009
K13069,2.7.7.65,R08057,substrate,C00044
K13069,2.7.7.65,R08057,product,C16463
K13069,2.7.7.65,R08057,product,C00013
K00318,1.5.5.2,R01253,substrate,C00148
K00318,1.5.5.2,R01253,substrate,C15602
K00318,1.5.5.2,R01253,product,C03912
K00318,1.5.5.2,R01253,product,C15603
K01478,3.5.3.6,R00552,substrate,C00062
K01478,3.5.3.6,R00552,substrate,C00001
K01478,3.5.3.6,R00552,product,C00327
K01478,3.5.3.6,R00552,product,C00014
K02586,1.18.6.1,R05185,substrate,C00002
K02586,1.18.6.1,R05185,substrate,C00697
K02586,1.18.6.1,R05185,substrate,C00138
K02586,1.18.6.1,R05185,substrate,C00080
K02586,1.18.6.1,R05185,substrate,C00001
K02586,1.18.6.1,R05185,product,C00009
K02586,1.18.6.1,R05185,product,C00008
K02586,1.18.6.1,R05185,product,C00139
K02586,1.18.6.1,R05185,product,C00014
K02586,1.18.6.1,R05185,product,C00282
K02586,1.18.6.1,R05496,substrate,C01548
K02586,1.18.6.1,R05496,substrate,C00138
K02586,1.18.6.1,R05496,substrate,C00080
K02586,1.18.6.1,R05496,substrate,C00002
K02586,1.18.6.1,R05496,substrate,C00001
K02586,1.18.6.1,R05496,product,C06547
K02586,1.18.6.1,R05496,product,C00139
K02586,1.18.6.1,R05496,product,C00008
K02586,1.18.6.1,R05496,product,C00009
K20036,4.2.1.155,R10936,substrate,C20955
K20036,4.2.1.155,R10936,substrate,C00001
K20036,4.2.1.155,R10936,product,C00084
K20036,4.2.1.155,R10936,product,C00409
K20036,4.2.1.155,R10936,product,C00010
K20036,4.2.1.155,R10936,product,C00011
K01495,3.5.4.16,R00424,substrate,C00044
K01495,3.5.4.16,R00424,substrate,C00001
K01495,3.5.4.16,R00424,product,C04895
K01495,3.5.4.16,R00424,product,C00058
K01495,3.5.4.16,R00428,substrate,C00044
K01495,3.5.4.16,R00428,substrate,C00001
K01495,3.5.4.16,R00428,product,C05922
K01495,3.5.4.16,R04639,substrate,C04895
K01495,3.5.4.16,R04639,substrate,C00001
K01495,3.5.4.16,R04639,product,C06148
K01495,3.5.4.16,R05046,substrate,C05922
K01495,3.5.4.16,R05046,substrate,C00001
K01495,3.5.4.16,R05046,product,C05923
K01495,3.5.4.16,R05046,product,C00058
K01495,3.5.4.16,R05048,substrate,C05923
K01495,3.5.4.16,R05048,product,C06148
K00794,2.5.1.78,R04457,substrate,C04732
K00794,2.5.1.78,R04457,substrate,C15556
K00794,2.5.1.78,R04457,product,C04332
K00794,2.5.1.78,R04457,product,C00001
K00794,2.5.1.78,R04457,product,C00009
K01029,2.8.3.5,R00410,substrate,C00091
K01029,2.8.3.5,R00410,substrate,C00164
K01029,2.8.3.5,R00410,product,C00042
K01029,2.8.3.5,R00410,product,C00332
K22187,,R11768,substrate,C00433
K22187,,R11768,substrate,C00003
K22187,,R11768,substrate,C00001
K22187,,R11768,product,C00026
K22187,,R11768,product,C00004
K22187,,R11768,product,C00080
K24042,1.5.1.54;2.1.1.13,R00946,substrate,C00440
K24042,1.5.1.54;2.1.1.13,R00946,substrate,C00155
K24042,1.5.1.54;2.1.1.13,R00946,product,C00101
K24042,1.5.1.54;2.1.1.13,R00946,product,C00073
K24042,1.5.1.54;2.1.1.13,R07168,substrate,C00440
K24042,1.5.1.54;2.1.1.13,R07168,substrate,C00003
K24042,1.5.1.54;2.1.1.13,R07168,product,C00143
K24042,1.5.1.54;2.1.1.13,R07168,product,C00004
K24042,1.5.1.54;2.1.1.13,R07168,product,C00080
K24042,1.5.1.54;2.1.1.13,R09365,substrate,C05698
K24042,1.5.1.54;2.1.1.13,R09365,substrate,C04489
K24042,1.5.1.54;2.1.1.13,R09365,product,C05335
K24042,1.5.1.54;2.1.1.13,R09365,product,C04144
K01487,3.5.4.3,R01676,substrate,C00242
K01487,3.5.4.3,R01676,substrate,C00001
K01487,3.5.4.3,R01676,product,C00385
K01487,3.5.4.3,R01676,product,C00014
K01775,5.1.1.1,R00401,substrate,C00041
K01775,5.1.1.1,R00401,product,C00133
K01008,2.7.9.3,R03595,substrate,C00002
K01008,2.7.9.3,R03595,substrate,C01528
K01008,2.7.9.3,R03595,substrate,C00001
K01008,2.7.9.3,R03595,product,C00020
K01008,2.7.9.3,R03595,product,C05172
K01008,2.7.9.3,R03595,product,C00009
K02431,5.1.3.29,R10764,substrate,C20835
K02431,5.1.3.29,R10764,product,C20836
K00864,2.7.1.30,R00847,substrate,C00002
K00864,2.7.1.30,R00847,substrate,C00116
K00864,2.7.1.30,R00847,product,C00008
K00864,2.7.1.30,R00847,product,C00093
K01760,4.4.1.13,R00782,substrate,C00097
K01760,4.4.1.13,R00782,substrate,C00001
K01760,4.4.1.13,R00782,product,C00283
K01760,4.4.1.13,R00782,product,C00022
K01760,4.4.1.13,R00782,product,C00014
K01760,4.4.1.13,R01286,substrate,C02291
K01760,4.4.1.13,R01286,substrate,C00001
K01760,4.4.1.13,R01286,product,C00155
K01760,4.4.1.13,R01286,product,C00014
K01760,4.4.1.13,R01286,product,C00022
K01760,4.4.1.13,R02408,substrate,C00491
K01760,4.4.1.13,R02408,substrate,C00001
K01760,4.4.1.13,R02408,product,C00022
K01760,4.4.1.13,R02408,product,C00014
K01760,4.4.1.13,R02408,product,C01962
K01760,4.4.1.13,R04941,substrate,C05699
K01760,4.4.1.13,R04941,substrate,C00001
K01760,4.4.1.13,R04941,product,C05698
K01760,4.4.1.13,R04941,product,C00014
K01760,4.4.1.13,R04941,product,C00022
K01760,4.4.1.13,R12188,substrate,C02882
K01760,4.4.1.13,R12188,substrate,C00001
K01760,4.4.1.13,R12188,product,C00145
K01760,4.4.1.13,R12188,product,C00014
K01760,4.4.1.13,R12188,product,C00022
K06045,4.2.1.129;5.4.99.17,R07322,substrate,C00751
K06045,4.2.1.129;5.4.99.17,R07322,product,C06310
K06045,4.2.1.129;5.4.99.17,R07323,substrate,C00751
K06045,4.2.1.129;5.4.99.17,R07323,substrate,C00001
K06045,4.2.1.129;5.4.99.17,R07323,product,C06309
K02773,2.7.1.200,R05570,substrate,C01697
K02773,2.7.1.200,R05570,substrate,C04261
K02773,2.7.1.200,R05570,product,C06311
K02773,2.7.1.200,R05570,product,C00615
K26071,,R13057,substrate,C22558
K26071,,R13057,product,C14131
K01458,3.5.1.68,R00525,substrate,C01045
K01458,3.5.1.68,R00525,substrate,C00001
K01458,3.5.1.68,R00525,product,C00058
K01458,3.5.1.68,R00525,product,C00025
K21782,1.3.8.14,R06747,substrate,C12470
K21782,1.3.8.14,R06747,substrate,C04253
K21782,1.3.8.14,R06747,product,C12483
K21782,1.3.8.14,R06747,product,C04570
K01011,2.8.1.1;2.8.1.2,R01931,substrate,C00320
K01011,2.8.1.1;2.8.1.2,R01931,substrate,C00177
K01011,2.8.1.1;2.8.1.2,R01931,product,C00094
K01011,2.8.1.1;2.8.1.2,R01931,product,C01755
K01011,2.8.1.1;2.8.1.2,R03105,substrate,C00957
K01011,2.8.1.1;2.8.1.2,R03105,substrate,C00342
K01011,2.8.1.1;2.8.1.2,R03105,product,C00283
K01011,2.8.1.1;2.8.1.2,R03105,product,C00022
K01011,2.8.1.1;2.8.1.2,R03105,product,C00343
K13498,4.1.1.48;5.3.1.24,R03508,substrate,C01302
K13498,4.1.1.48;5.3.1.24,R03508,product,C03506
K13498,4.1.1.48;5.3.1.24,R03508,product,C00011
K13498,4.1.1.48;5.3.1.24,R03508,product,C00001
K13498,4.1.1.48;5.3.1.24,R03509,substrate,C04302
K13498,4.1.1.48;5.3.1.24,R03509,product,C01302
K23518,3.1.1.106,R12390,substrate,C22131
K23518,3.1.1.106,R12390,substrate,C00001
K23518,3.1.1.106,R12390,product,C00301
K23518,3.1.1.106,R12390,product,C00033
K23518,3.1.1.106,R12391,substrate,C20658
K23518,3.1.1.106,R12391,substrate,C00001
K23518,3.1.1.106,R12391,product,C00301
K23518,3.1.1.106,R12391,product,C00033
K06221,1.1.1.346,R08878,substrate,C15673
K06221,1.1.1.346,R08878,substrate,C00006
K06221,1.1.1.346,R08878,product,C02780
K06221,1.1.1.346,R08878,product,C00005
K06221,1.1.1.346,R08878,product,C00080
K02746,,R08366,substrate,C01132
K02746,,R08366,substrate,C04261
K02746,,R08366,product,C06376
K02746,,R08366,product,C00615
K00130,1.2.1.8,R02565,substrate,C00576
K00130,1.2.1.8,R02565,substrate,C00003
K00130,1.2.1.8,R02565,substrate,C00001
K00130,1.2.1.8,R02565,product,C00719
K00130,1.2.1.8,R02565,product,C00004
K00130,1.2.1.8,R02565,product,C00080
K00130,1.2.1.8,R02566,substrate,C00576
K00130,1.2.1.8,R02566,substrate,C00006
K00130,1.2.1.8,R02566,substrate,C00001
K00130,1.2.1.8,R02566,product,C00719
K00130,1.2.1.8,R02566,product,C00005
K00130,1.2.1.8,R02566,product,C00080
K17884,2.7.8.39,R10464,substrate,C20627
K17884,2.7.8.39,R10464,substrate,C04006
K17884,2.7.8.39,R10464,product,C00055
K17884,2.7.8.39,R10464,product,C20642
K01571,7.2.4.2,R12212,substrate,C00036
K01571,7.2.4.2,R12212,substrate,C01330
K01571,7.2.4.2,R12212,product,C00022
K01571,7.2.4.2,R12212,product,C00011
K01571,7.2.4.2,R12212,product,C01330
K00759,2.4.2.7,R00190,substrate,C00020
K00759,2.4.2.7,R00190,substrate,C00013
K00759,2.4.2.7,R00190,product,C00147
K00759,2.4.2.7,R00190,product,C00119
K00759,2.4.2.7,R04378,substrate,C04677
K00759,2.4.2.7,R04378,substrate,C00013
K00759,2.4.2.7,R04378,product,C04051
K00759,2.4.2.7,R04378,product,C00119
K01733,4.2.3.1,R01466,substrate,C01102
K01733,4.2.3.1,R01466,substrate,C00001
K01733,4.2.3.1,R01466,product,C00188
K01733,4.2.3.1,R01466,product,C00009
K01733,4.2.3.1,R05086,substrate,C06055
K01733,4.2.3.1,R05086,substrate,C00001
K01733,4.2.3.1,R05086,product,C06056
K01733,4.2.3.1,R05086,product,C00009
K00010,1.1.1.18;1.1.1.369,R01183,substrate,C00137
K00010,1.1.1.18;1.1.1.369,R01183,substrate,C00003
K00010,1.1.1.18;1.1.1.369,R01183,product,C00691
K00010,1.1.1.18;1.1.1.369,R01183,product,C00004
K00010,1.1.1.18;1.1.1.369,R01183,product,C00080
K00010,1.1.1.18;1.1.1.369,R09951,substrate,C19891
K00010,1.1.1.18;1.1.1.369,R09951,substrate,C00003
K00010,1.1.1.18;1.1.1.369,R09951,product,C20251
K00010,1.1.1.18;1.1.1.369,R09951,product,C00004
K00010,1.1.1.18;1.1.1.369,R09951,product,C00080
K27542,3.5.3.27;4.3.1.12,R00671,substrate,C00077
K27542,3.5.3.27;4.3.1.12,R00671,product,C00148
K27542,3.5.3.27;4.3.1.12,R00671,product,C00014
K13552,1.1.3.43,R08896,substrate,C01743
K13552,1.1.3.43,R08896,substrate,C00007
K13552,1.1.3.43,R08896,product,C17583
K13552,1.1.3.43,R08896,product,C00027
K00526,1.17.4.1,R02017,substrate,C00206
K00526,1.17.4.1,R02017,substrate,C00343
K00526,1.17.4.1,R02017,substrate,C00001
K00526,1.17.4.1,R02017,product,C00342
K00526,1.17.4.1,R02017,product,C00008
K00526,1.17.4.1,R02018,substrate,C01346
K00526,1.17.4.1,R02018,substrate,C00343
K00526,1.17.4.1,R02018,substrate,C00001
K00526,1.17.4.1,R02018,product,C00342
K00526,1.17.4.1,R02018,product,C00015
K00526,1.17.4.1,R02019,substrate,C00361
K00526,1.17.4.1,R02019,substrate,C00343
K00526,1.17.4.1,R02019,substrate,C00001
K00526,1.17.4.1,R02019,product,C00035
K00526,1.17.4.1,R02019,product,C00342
K00526,1.17.4.1,R02024,substrate,C00705
K00526,1.17.4.1,R02024,substrate,C00343
K00526,1.17.4.1,R02024,substrate,C00001
K00526,1.17.4.1,R02024,product,C00342
K00526,1.17.4.1,R02024,product,C00112
K01426,3.5.1.4,R02540,substrate,C02505
K01426,3.5.1.4,R02540,substrate,C00001
K01426,3.5.1.4,R02540,product,C07086
K01426,3.5.1.4,R02540,product,C00014
K01426,3.5.1.4,R03096,substrate,C02693
K01426,3.5.1.4,R03096,substrate,C00001
K01426,3.5.1.4,R03096,product,C00954
K01426,3.5.1.4,R03096,product,C00014
K01426,3.5.1.4,R03180,substrate,C03078
K01426,3.5.1.4,R03180,substrate,C00001
K01426,3.5.1.4,R03180,product,C01035
K01426,3.5.1.4,R03180,product,C00014
K01426,3.5.1.4,R03909,substrate,C03620
K01426,3.5.1.4,R03909,substrate,C00001
K01426,3.5.1.4,R03909,product,C00060
K01426,3.5.1.4,R03909,product,C00014
K01426,3.5.1.4,R05551,substrate,C00511
K01426,3.5.1.4,R05551,substrate,C00014
K01426,3.5.1.4,R05551,product,C01659
K01426,3.5.1.4,R05551,product,C00001
K01426,3.5.1.4,R05590,substrate,C09815
K01426,3.5.1.4,R05590,substrate,C00001
K01426,3.5.1.4,R05590,product,C00180
K01426,3.5.1.4,R05590,product,C00014
K00381,1.8.1.2,R00858,substrate,C00283
K00381,1.8.1.2,R00858,substrate,C00006
K00381,1.8.1.2,R00858,substrate,C00001
K00381,1.8.1.2,R00858,product,C00094
K00381,1.8.1.2,R00858,product,C00005
K00381,1.8.1.2,R00858,product,C00080
K03476,,R07677,substrate,C16186
K03476,,R07677,substrate,C00001
K03476,,R07677,product,C14899
K01596,4.1.1.32,R00431,substrate,C00044
K01596,4.1.1.32,R00431,substrate,C00036
K01596,4.1.1.32,R00431,product,C00035
K01596,4.1.1.32,R00431,product,C00074
K01596,4.1.1.32,R00431,product,C00011
K01596,4.1.1.32,R00726,substrate,C00081
K01596,4.1.1.32,R00726,substrate,C00036
K01596,4.1.1.32,R00726,product,C00104
K01596,4.1.1.32,R00726,product,C00074
K01596,4.1.1.32,R00726,product,C00011
K11175,2.1.2.2,R04325,substrate,C00234
K11175,2.1.2.2,R04325,substrate,C03838
K11175,2.1.2.2,R04325,product,C00101
K11175,2.1.2.2,R04325,product,C04376
K11175,2.1.2.2,R04326,substrate,C03838
K11175,2.1.2.2,R04326,substrate,C00445
K11175,2.1.2.2,R04326,substrate,C00001
K11175,2.1.2.2,R04326,product,C04376
K11175,2.1.2.2,R04326,product,C00101
K01644,4.1.3.34,R00362,substrate,C00158
K01644,4.1.3.34,R00362,product,C00033
K01644,4.1.3.34,R00362,product,C00036
K21062,3.5.4.22,R02280,substrate,C04282
K21062,3.5.4.22,R02280,substrate,C00001
K21062,3.5.4.22,R02280,product,C00433
K21062,3.5.4.22,R02280,product,C00014
K01720,4.2.1.79,R04424,substrate,C02225
K01720,4.2.1.79,R04424,product,C04225
K01720,4.2.1.79,R04424,product,C00001
K00283,1.4.4.2,R01221,substrate,C00037
K00283,1.4.4.2,R01221,substrate,C00101
K00283,1.4.4.2,R01221,substrate,C00003
K00283,1.4.4.2,R01221,product,C00143
K00283,1.4.4.2,R01221,product,C00014
K00283,1.4.4.2,R01221,product,C00011
K00283,1.4.4.2,R01221,product,C00004
K00283,1.4.4.2,R01221,product,C00080
K00283,1.4.4.2,R03425,substrate,C00037
K00283,1.4.4.2,R03425,substrate,C02051
K00283,1.4.4.2,R03425,product,C01242
K00283,1.4.4.2,R03425,product,C00011
K01737,4.1.2.50;4.2.3.12,R04286,substrate,C04895
K01737,4.1.2.50;4.2.3.12,R04286,product,C03684
K01737,4.1.2.50;4.2.3.12,R04286,product,C00536
K01737,4.1.2.50;4.2.3.12,R09959,substrate,C04895
K01737,4.1.2.50;4.2.3.12,R09959,substrate,C00001
K01737,4.1.2.50;4.2.3.12,R09959,product,C20239
K01737,4.1.2.50;4.2.3.12,R09959,product,C00084
K01737,4.1.2.50;4.2.3.12,R09959,product,C00536
K00940,2.7.4.6,R00124,substrate,C00002
K00940,2.7.4.6,R00124,substrate,C00008
K00940,2.7.4.6,R00124,product,C00008
K00940,2.7.4.6,R00124,product,C00002
K00940,2.7.4.6,R00139,substrate,C11038
K00940,2.7.4.6,R00139,substrate,C00002
K00940,2.7.4.6,R00139,product,C11039
K00940,2.7.4.6,R00139,product,C00008
K00940,2.7.4.6,R00156,substrate,C00002
K00940,2.7.4.6,R00156,substrate,C00015
K00940,2.7.4.6,R00156,product,C00008
K00940,2.7.4.6,R00156,product,C00075
K00940,2.7.4.6,R00330,substrate,C00002
K00940,2.7.4.6,R00330,substrate,C00035
K00940,2.7.4.6,R00330,product,C00008
K00940,2.7.4.6,R00330,product,C00044
K00940,2.7.4.6,R00331,substrate,C00002
K00940,2.7.4.6,R00331,substrate,C00454
K00940,2.7.4.6,R00331,product,C00008
K00940,2.7.4.6,R00331,product,C00201
K00940,2.7.4.6,R00570,substrate,C00002
K00940,2.7.4.6,R00570,substrate,C00112
K00940,2.7.4.6,R00570,product,C00008
K00940,2.7.4.6,R00570,product,C00063
K00940,2.7.4.6,R00722,substrate,C00002
K00940,2.7.4.6,R00722,substrate,C00104
K00940,2.7.4.6,R00722,product,C00008
K00940,2.7.4.6,R00722,product,C00081
K00940,2.7.4.6,R01137,substrate,C00002
K00940,2.7.4.6,R01137,substrate,C00206
K00940,2.7.4.6,R01137,product,C00008
K00940,2.7.4.6,R01137,product,C00131
K00940,2.7.4.6,R01857,substrate,C00002
K00940,2.7.4.6,R01857,substrate,C00361
K00940,2.7.4.6,R01857,product,C00008
K00940,2.7.4.6,R01857,product,C00286
K00940,2.7.4.6,R02093,substrate,C00002
K00940,2.7.4.6,R02093,substrate,C00363
K00940,2.7.4.6,R02093,product,C00008
K00940,2.7.4.6,R02093,product,C00459
K00940,2.7.4.6,R02326,substrate,C00002
K00940,2.7.4.6,R02326,substrate,C00705
K00940,2.7.4.6,R02326,product,C00008
K00940,2.7.4.6,R02326,product,C00458
K00940,2.7.4.6,R02331,substrate,C00002
K00940,2.7.4.6,R02331,substrate,C01346
K00940,2.7.4.6,R02331,product,C00008
K00940,2.7.4.6,R02331,product,C00460
K00940,2.7.4.6,R03530,substrate,C00002
K00940,2.7.4.6,R03530,substrate,C01344
K00940,2.7.4.6,R03530,product,C00008
K00940,2.7.4.6,R03530,product,C01345
K00940,2.7.4.6,R11894,substrate,C00002
K00940,2.7.4.6,R11894,substrate,C21748
K00940,2.7.4.6,R11894,product,C00008
K00940,2.7.4.6,R11894,product,C21749
K00940,2.7.4.6,R11895,substrate,C00002
K00940,2.7.4.6,R11895,substrate,C21750
K00940,2.7.4.6,R11895,product,C00008
K00940,2.7.4.6,R11895,product,C21751
K00940,2.7.4.6,R12853,substrate,C22442
K00940,2.7.4.6,R12853,substrate,C00002
K00940,2.7.4.6,R12853,product,C22443
K00940,2.7.4.6,R12853,product,C00008
K01012,2.8.1.6,R01078,substrate,C01909
K01012,2.8.1.6,R01078,substrate,C17023
K01012,2.8.1.6,R01078,substrate,C00019
K01012,2.8.1.6,R01078,substrate,C05359
K01012,2.8.1.6,R01078,substrate,C00080
K01012,2.8.1.6,R01078,product,C00120
K01012,2.8.1.6,R01078,product,C00073
K01012,2.8.1.6,R01078,product,C05198
K01633,1.13.11.81;4.1.2.25;5.1.99.8,R03504,substrate,C04874
K01633,1.13.11.81;4.1.2.25;5.1.99.8,R03504,product,C00266
K01633,1.13.11.81;4.1.2.25;5.1.99.8,R03504,product,C01300
K01633,1.13.11.81;4.1.2.25;5.1.99.8,R11037,substrate,C04874
K01633,1.13.11.81;4.1.2.25;5.1.99.8,R11037,substrate,C00007
K01633,1.13.11.81;4.1.2.25;5.1.99.8,R11037,product,C21065
K01633,1.13.11.81;4.1.2.25;5.1.99.8,R11037,product,C00058
K01633,1.13.11.81;4.1.2.25;5.1.99.8,R11037,product,C00266
K01633,1.13.11.81;4.1.2.25;5.1.99.8,R11073,substrate,C04874
K01633,1.13.11.81;4.1.2.25;5.1.99.8,R11073,product,C21008
K05601,1.7.99.1,R00143,substrate,C00014
K05601,1.7.99.1,R00143,substrate,C00003
K05601,1.7.99.1,R00143,substrate,C00001
K05601,1.7.99.1,R00143,product,C00192
K05601,1.7.99.1,R00143,product,C00004
K05601,1.7.99.1,R00143,product,C00080
K03750,2.10.1.1,R09735,substrate,C19848
K03750,2.10.1.1,R09735,substrate,C06232
K03750,2.10.1.1,R09735,product,C18237
K03750,2.10.1.1,R09735,product,C00020
K03750,2.10.1.1,R09735,product,C00001
K04034,1.21.98.3,R06268,substrate,C04536
K04034,1.21.98.3,R06268,substrate,C00019
K04034,1.21.98.3,R06268,substrate,C00001
K04034,1.21.98.3,R06268,product,C11829
K04034,1.21.98.3,R06268,product,C05198
K04034,1.21.98.3,R06268,product,C00073
K04034,1.21.98.3,R06269,substrate,C11829
K04034,1.21.98.3,R06269,substrate,C00019
K04034,1.21.98.3,R06269,product,C11830
K04034,1.21.98.3,R06269,product,C05198
K04034,1.21.98.3,R06269,product,C00073
K04034,1.21.98.3,R06270,substrate,C11830
K04034,1.21.98.3,R06270,substrate,C00019
K04034,1.21.98.3,R06270,product,C11831
K04034,1.21.98.3,R06270,product,C05198
K04034,1.21.98.3,R06270,product,C00073
K01968,6.4.1.4,R04138,substrate,C00002
K01968,6.4.1.4,R04138,substrate,C03069
K01968,6.4.1.4,R04138,substrate,C00288
K01968,6.4.1.4,R04138,product,C00008
K01968,6.4.1.4,R04138,product,C00009
K01968,6.4.1.4,R04138,product,C03231
K11178,1.17.1.4,R01768,substrate,C00262
K11178,1.17.1.4,R01768,substrate,C00003
K11178,1.17.1.4,R01768,substrate,C00001
K11178,1.17.1.4,R01768,product,C00385
K11178,1.17.1.4,R01768,product,C00004
K11178,1.17.1.4,R01768,product,C00080
K11178,1.17.1.4,R02103,substrate,C00385
K11178,1.17.1.4,R02103,substrate,C00003
