KO,EC,Reaction,role,metabolite
K06016,3.5.1.6;3.5.1.87,R04666,product,C00014
K01711,4.2.1.47,R00888,substrate,C00096
K01711,4.2.1.47,R00888,product,C01222
K01711,4.2.1.47,R00888,product,C00001
K10026,4.3.99.3,R10002,substrate,C20239
K10026,4.3.99.3,R10002,product,C20248
K10026,4.3.99.3,R10002,product,C00014
K01903,6.2.1.5,R00405,substrate,C00002
K01903,6.2.1.5,R00405,substrate,C00042
K01903,6.2.1.5,R00405,substrate,C00010
K01903,6.2.1.5,R00405,product,C00008
K01903,6.2.1.5,R00405,product,C00009
K01903,6.2.1.5,R00405,product,C00091
K01903,6.2.1.5,R02404,substrate,C00002
K01903,6.2.1.5,R02404,substrate,C00490
K01903,6.2.1.5,R02404,substrate,C00010
K01903,6.2.1.5,R02404,product,C00008
K01903,6.2.1.5,R02404,product,C00009
K01903,6.2.1.5,R02404,product,C00531
K12661,4.2.1.90,R03774,substrate,C01934
K12661,4.2.1.90,R03774,product,C03979
K12661,4.2.1.90,R03774,product,C00001
K01810,5.3.1.9,R00771,substrate,C00092
K01810,5.3.1.9,R00771,product,C00085
K01810,5.3.1.9,R02739,substrate,C00668
K01810,5.3.1.9,R02739,product,C01172
K01810,5.3.1.9,R02740,substrate,C00668
K01810,5.3.1.9,R02740,product,C05345
K01810,5.3.1.9,R03321,substrate,C01172
K01810,5.3.1.9,R03321,product,C05345
K01810,5.3.1.9,R13199,substrate,C00668
K01810,5.3.1.9,R13199,product,C00085
K00929,2.7.2.7,R01688,substrate,C00002
K00929,2.7.2.7,R01688,substrate,C00246
K00929,2.7.2.7,R01688,product,C00008
K00929,2.7.2.7,R01688,product,C02527
K01893,6.1.1.22,R03648,substrate,C00002
K01893,6.1.1.22,R03648,substrate,C00152
K01893,6.1.1.22,R03648,substrate,C01637
K01893,6.1.1.22,R03648,product,C00020
K01893,6.1.1.22,R03648,product,C00013
K01893,6.1.1.22,R03648,product,C03402
K01870,6.1.1.5,R03656,substrate,C00002
K01870,6.1.1.5,R03656,substrate,C00407
K01870,6.1.1.5,R03656,substrate,C01644
K01870,6.1.1.5,R03656,product,C00020
K01870,6.1.1.5,R03656,product,C00013
K01870,6.1.1.5,R03656,product,C03127
K00850,2.7.1.11,R00756,substrate,C00002
K00850,2.7.1.11,R00756,substrate,C00085
K00850,2.7.1.11,R00756,product,C00008
K00850,2.7.1.11,R00756,product,C00354
K00850,2.7.1.11,R03236,substrate,C01097
K00850,2.7.1.11,R03236,substrate,C00002
K00850,2.7.1.11,R03236,product,C03785
K00850,2.7.1.11,R03236,product,C00008
K00850,2.7.1.11,R03237,substrate,C00063
K00850,2.7.1.11,R03237,substrate,C01097
K00850,2.7.1.11,R03237,product,C00112
K00850,2.7.1.11,R03237,product,C03785
K00850,2.7.1.11,R03238,substrate,C00075
K00850,2.7.1.11,R03238,substrate,C01097
K00850,2.7.1.11,R03238,product,C00015
K00850,2.7.1.11,R03238,product,C03785
K00850,2.7.1.11,R03239,substrate,C00081
K00850,2.7.1.11,R03239,substrate,C01097
