node,deg_in,deg_out,deg_total,pagerank,betweenness,closeness,eigenvector,hub,authority
K03388,72,23,95,0.009181622188944166,0.009602974122289068,1.4196841869386214,0.09892546947209406,0.004011189299178491,0.020574320487641205
K03389,72,23,95,0.009181622188944166,0.009602974122289068,1.4196841869386214,0.09823269146072564,0.004011189299178491,0.0205743204876412
K00627,59,35,94,0.002943622891958205,0.0,1.2256854265996853,0.0572201623052437,0.005732681217079475,0.00505295924121999
K00681,56,34,90,0.004437278124376791,0.0,1.4103014595527674,0.08587262771876444,0.0019211640616188963,0.004112001128434644
K01937,51,38,89,0.003155468031323508,0.0031339766755357876,0.9318738998651857,0.037023896055011746,0.0010154279375791356,0.003673353615288129
K00836,56,29,85,0.002650005802107331,0.0,1.1832278263919476,0.03401072652257481,0.0013607151346654376,0.002032585271272577
K00163,44,41,85,0.005480912689911899,0.08060514648273626,1.5888447804422041,0.14010255713139794,0.015808916375684743,0.014577988224753589
K07806,56,29,85,0.002650005802107331,0.0,1.1832278263919476,0.03475275725308898,0.0013607151346654376,0.002032585271272577
K00162,44,41,85,0.005480912689911899,0.08060514648273626,1.5888447804422041,0.14795583125960368,0.015808916375684743,0.014577988224753586
K13017,56,29,85,0.002650005802107331,0.0,1.1832278263919476,0.03475275725308898,0.0013607151346654376,0.002032585271272577
K00052,61,24,85,0.0040221161470951235,0.0,1.3009502398833104,0.07957109145727896,0.003938711080852807,0.016427777313355436
K22478,84,0,84,0.015532382589946542,0.0,1.363328899743585,0.04498597964127802,-0.0,0.0036974000481549605
K09698,56,27,83,0.004572387653716604,0.01765482603842455,1.4161384716069847,0.06569723153163326,0.0006673943994864524,0.004065170542545154
K01885,56,27,83,0.002650005802107331,0.0,1.1885776832582529,0.03284861576581663,0.0003336971997432262,0.002032585271272577
K02435,56,26,82,0.004572387653716604,0.02100680137228137,1.4122417764633801,0.059412709814989334,0.0005127644342808074,0.004065170542545154
K02434,56,26,82,0.004572387653716604,0.02100680137228137,1.4122417764633801,0.059412709814989334,0.0005127644342808074,0.004065170542545154
K00620,80,2,82,0.0054306222589387,0.0,1.527170556313607,0.07368616343186501,4.402984506497864e-05,0.0057289567991842824
K22083,56,26,82,0.002650005802107331,2.9239109760664596e-05,1.1896928600236338,0.032483093627539754,0.0006526552773173033,0.002032585271272577
K13063,56,26,82,0.002650005802107331,0.004685360597966376,1.186745471986853,0.029975121853340274,0.0004234695417867563,0.002032585271272577
K02433,56,26,82,0.004572387653716604,0.02100680137228137,1.4122417764633801,0.059412709814989334,0.0005127644342808074,0.004065170542545154
K22477,80,1,81,0.0035082404073294264,0.0,1.346622697727394,0.04373983596971149,1.9907380992218837e-05,0.003696371527911716
K14681,80,1,81,0.0035082404073294264,0.0,1.346622697727394,0.04373983596971149,1.9907380992218837e-05,0.003696371527911716
K14682,80,1,81,0.0035082404073294264,0.0,1.346622697727394,0.04373983596971149,1.9907380992218837e-05,0.003696371527911716
K00767,79,1,80,0.007186739697522239,0.0,1.4299305074412711,0.07693284439137092,3.164285155189743e-05,0.016586072497161482
K01580,56,24,80,0.0026720566857759264,0.00355291046858015,1.184137804660543,0.09908659078222455,0.014413458983860596,0.0020627114783281705
K03342,12,64,76,0.0016907000280276317,1.1223092635406613e-05,0.8096244665844139,0.03492584636974041,0.003634983837838363,0.0001556461141163008
K24102,56,20,76,0.0026812513918669178,0.0,1.1914683306296545,0.033515146669948905,0.0003391380497640886,0.0020831822138397877
K03186,57,18,75,0.004634325405740691,0.0,1.301599622845446,0.08769353235955978,0.006988874479324338,0.01588094946191006
K03182,56,18,74,0.003940279583943753,0.0,1.3032718826013605,0.07779759745186803,0.003494060092369413,0.015950997069827017
K00156,42,30,72,0.004466543498020406,0.018598160909220153,1.1613746834412622,0.038961899210545436,0.003645185536928927,0.0034295860580184027
K14244,11,61,72,0.002280308637003331,0.0008996924192430465,1.06519440796663,0.038065613728198916,0.0026771170936991154,0.0004600320911340872
K01914,45,27,72,0.0019960128047913526,0.0,0.8949899629868197,0.02682038237534613,0.0003336971997432262,0.0035591738547501557
K01758,2,69,71,0.0007920294241656181,0.00087092021055344,0.4839257950754832,0.12468298733550624,0.01629493638785101,0.00010531791151269412
K01953,10,61,71,0.0014436473264472342,0.0,0.8070781589698169,0.018527906835064042,0.0013385585468495577,0.00016766343757421387
